original_index,rats_y_n,SERVICENOTES
90255,y,baited both sides of front steps./WL RICKS
3714995,u,caller is requesting to have rat abatement to be done in the rear of the property..
5299962,n,On 9/22/17 R Herrington found no rat burrows or activity on public space.
3716645,n,On 5/22/2013 @ 11:15 am Mr. Cornes did not find evidence of rat in the area.
3590337,y,rats are everywhere
2076114,y,n 6/15/10 Curtis baited 9 rat burrows by the trash area.
2584367,u,ms. leonard....2025292535
3759634,y,"On 07/23/13, V. Purvis baited 4 rat burrows in the front yard. Ditrac /powder, EPA#12455-56, 0.2%, 8oz, B&G duster."
3340322,n,"On 04/17/2012 @10.02AM D. Broomflied found no evidence of rats in the area,"
4994275,n,On 11/4/16 L Rogers found no rat burrows or activity on property; left service notice.
54723,n,NO ACTIVE RAT BURROWS WERE SEEN            BS
2828428,n,On 12/14/10 @ 1:20pm No evidence of rats found. Rogers
4878098,n,On 8/30/16 A Cuff talked with owner and found no rat burrows in the yd.
4413985,y,"On 7/8/15 @ 10:30am Taylor bated 7 rat burrows in the alley; behind the buildings. Ditrac /powder, EPA#12455-56, 0.2%, 7oz, B&G duster."
3089549,y,"On 04/22/13 @ 1:19 pm, V. Purvis abated the property."
5272221,u,On 8/29/17@11:10 am D Broomfield found public space under construction; no inspection was done.
2109897,y,4pm Broomfield baited 1 rat burrow in the rear yard.
5237632,n,On 6/29/17 @ 11:00am Doreen Broomfield found no rat burrows seen in the front yard. (NCA)
3113509,y,"On 8/30/11@11:10am V Purvis & T Taylor baited 3 rat burrows in the front yd. Ditrac /powder, EPA#12455-56, 0.2%, 3oz, B&G duster."
1593763,y,On 11/29/07 Rogers - Abated
2897916,n,On 3/4/11 G Cornes found no rat burrows in the area.
3405831,y,"On 6/29/12 @ 12pm V.Purvis baited 10 rat burrows in the alley. Ditrac /powder, EPA#12455-56, 0.2%, 20oz, B&G duster."
4409402,y,"BACK YARD & FRONT.....MANY, MANY RODENTS"
56650,n,NO RAT BURROWS FOUND NO CAUSE FOR ACTION.  G. CORNES        BS
2689853,n,On 8/9/10 L Rogers found no rat burrows in the area.
2634076,y,"About halfway between sidewalk and front steps, on the right (South) edge of the walkway, there is an active rat hole leading to a nest under the walkway."
3750949,u,customer would like to have abatement in front but not in the vegetable garden.
91388,u,no such address / the real adress is 3314 Warder St. NW
3808155,n,On 8/26/13 D Broomfield found no rat burrows in the area; left service notice.
5136233,n,On 02/06/2017 Mr. Redman  found no rat burrows or activity on property; left service notice.
1683675,y,On 4-8-09 Taylor baited 8 rat burrows in alley.
2637182,y,"the day after DOH abated for rats, the rats opened a new hole."
2797830,y,"On 11/9/10 @ 10:25am Rogers baited 6 rat burrows in the alley.  Ditrac /powder, EPA#12455-56, 0.2%, 12oz, B& G duster."
4635186,y,On 2/24/16@10:00am G Curtis baited 9 rat burrows at the tree box space.
4014599,y,hole in the back yard......while sitting on the front a big rat came up on the porch
3230629,n,on the above date 12/12/2011 Mr A Cuff found no evidence of rats
4962015,n,On 10/19/16 D Broomfield found no rat burrows in the front yd. Gave citizen service notice and ten tips. All the front yards have excessive overgrowth.
4665883,n,On 4/4/16 G Cornes found no such address and no rat burrows in the vicinity.
4942651,n,On 10/12/16 R Herrington found no rat burrows or activity on property; left service notice.
5286253,y,"On 8/16/17@12:05 pm M Jacobs baited 6 rat burrows in the rear yd.  Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 6 oz, B&G duster/ gloves shovel."
89642,u,check alley and the rear of property for rats.
5297278,y,"On 8/30/17@1:20 pm M Jacobs baited 28 rat burrows along the fence lines. Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 1 lb 12 oz, B&G duster/ gloves shovel."
4536887,n,On 11/3/15@11:41am A Cuff talked with constituent about rats and wildlife in the area; no rat burrows found on the outside. Owner states that rats where seen in home.
3485468,y,rats are seen in the 1703 harvard st nw  in the alley
18631,y,AREA BAITED
57117,y,"AJ 4/19/00/ TIME 10:00 BAITED REAR YARD UNDER BUSHES, 5 RAT BURRUWS FOUND.05/01/00/ ALG"
3191323,n,On the above date 11/04/2011 Mrs G Cornes found no evidence of rats
5153757,n,On 3/20/17 D Broomfield found no rat burrows or activity on property and public space; left service notice.
4422565,y,"On 8/17/15@10:40am T Taylor baited 7 rat burrows at the front steps. Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 7oz, B&G duster/ gloves & shovel."
82324,n,VACANT HOUSE NO RAT ACTIVITY AT THAT ADDRESS CB/RH  SIR
3163460,y,"On 01/11/13 @ 9:13 am, V. Purvis abated the property."
4370875,n,On 5/20/15 @ 10:40AM G. Cornes found no rat burrows in the area; left service notice.
3709574,u,entire alley
22237,n,NO RAT BARROWS FOUND IN THIS AREA ON 9/27. TQUICK
4545343,u,The Department of Health will refer request to DGS(District Government Services) for service. Call Ms. White for further assistance. 202 576-6053
142776,y,Baited 6 burrows by truck in rear yard D Hill 5/10/01
3516429,u,there is a whole in the backyard
4588737,y,"On 1/12/16@10:59am M Parker baited 10 rat burrows in the rear yd. Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 15oz, B&G duster/ gloves & shovel."
4645098,n,On 3/7/16 D Broomfield found no rat burrows on public space and the park is serviced by the Federal Parks.
3868853,y,"On 11/12/13@12:55pm R Herrington baited 1 rat burrow in the rear yd. Ditrac /powder, EPA#12455-56, 0.2%, 3oz, B&G duster."
2988068,u,Alley and backyard
144682,n,5-16-01     NCA   No rat burrows    Hill
3634072,n,On 2/12/2013 Ms. Broomfield did not see any evidences of rats in the area.
4880483,n,On 9/13/16 A Cuff found no rat burrows in alley; left notice.
2968854,u,caller request to have entire alley and also yard abated for rat burrows   Mr. Lipsen 202  234 3323  or 202 351 9807
5161442,n,"On 03/30/2017, Mr. Redman  Found no rat burrows or activity on property; left service notice."
3794207,n,On 08/08/2013 @ 9:30 am Mr. Cornes did not find evidence of rats in the area.
4434090,y,"On 7/28/15 @ 2:30 Parker baited 7 rat burrows in alley. Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 7oz, B&G duster/ gloves & shovel."
5281044,y,"On 8/23/17@9:28 am R Herrington baited 6 rat burrows in the rear yd and alley.  Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 6 oz, B&G duster/ gloves shovel."
3080089,u,Please send someone to this area.
3265424,n,On 1/24/12 D Broomfield found no  rat burrows in the street.
3754045,u,please call before you come out
5111132,n,On 1/24/17 @ 11:03am M.Parker found no rat burrows on the property.
2827832,u,William C. Smith having to much mice problems
2668086,y,On 7/27/10 9:47AM Rogers baited 4 rat burrows in the rear.
3818994,y,serious rat infestation in alley and in street in rear of apartment buildings.  rats are all over the place.  requesting rat abatement in alley and in street all surrounding area.
63109,y,R.COLEMAN 5/15/00/ MR. RONALD COLEMAN BAITED AT 710 VARNUM ST N.W. ON 5/15/00. RAT LITERATURE WAS GIVEN OUT TO ALL THE CITIZEN. ON 5/15/00.FOLLOW-UP BAITINGS WILL BE DONE UNTIL THE RAT PROBLEMS ARE ABATED.
3865791,y,"On 11/5/13@1:40pm R Herrington baited 2 rat burrows at tree box space. Ditrac /powder, EPA#12455-56, 0.2%, 3oz, B&G duster."
3876948,y,caller stating that the rats are coming into her home from the alley and she may have holes in her back yard
3433999,y,"On 08/14/12 @ 9:30 am, Reese abated the property."
2914472,n,On 4/5/11 G curtis found no rat burrows in the area.
3795658,y,On 09.04/2013 @ 1:28 pm Mr. Herrington baited one rat burrow in the front yard.
5102897,n,On 1/18/17 found no rat burrows or activity on property and public space.
5252204,n,On 8/3/17 R Herrington found no rat burrows in the front yd.
3256411,y,"On 02/04/13 @ 1:20 pm, L. Rogers abated the property."
2336229,y,On 10/26/09 V Purvis baited 8 rat burrows in the alley.
3880746,y,"On 11/25/13@2:15pm R Herrington baited 2 rat burrows in the rear yd. Ditrac /powder, EPA#12455-56, 0.2%, 3oz, B&G duster."
3199574,u,"There is a very large rat hole that is sinking since we moved into the neighborhood 6 years ago. It appears to go down to the metro below. Can this hole be filled in? It's about 10 feet across. We're afraid someone might step there and fall.  the user entered the address: 4347 Nebraska Ave, NW, Washington, DC to see more details visit: http://seeclickfix.com/issues/137762"
4557118,y,"On 12/7/15@9:28am R Herrington baited 2 rat burrows under the rear porch.  Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 3oz, B&G duster/ gloves & shovel."
3642455,y,"On 02/22/2013 @ 12:20 pm Ms. Reese did not find any evidence of rats in the area,"
3209267,u,knock on door gate lock
3677867,n,On 04/08/2013 @ 1:20 pm Mr. Cornes did not find any evidence of rats in the area.
100314,y,Baited 3 rat burrows at fenceline in rear yard./Cornes/Hill    12-01-00  baited 3 rat burrows      3-29-01   abated  GB
4698955,u,On 4/28/16 D Broomfield left message to get permission to treat property.
3043063,y,"On 7/5/11 @11:55 Cuff baited 3 rat burrows in the rear yd. by wooden tires. Ditrac /powder, EPA#12455-56, 0.2%, 3oz, B&G duster."
2978584,y,On 03/20/2012 @ 9.30AM G. GOrves abated the area.
80983,y,BY WL RICKS  8-14-00  11:05 A.M.   BAITED  SIDES OF FRONT YARD UNDER FRONT PORCH FOR RATS.    JH
3614792,n,On 1/17/13 G Cornes found no rat burrows in the area.
3486589,u,"Citizen request a poison, have a problem with rat"
5236691,n,"On 07/21/2017 Mr. Jacobs,  Found no rat burrows or activity on property; left service notice."
3529406,n,On 10/11/2012 @ 10:00 am Ms. Reese did not find evident of rats in the area.
2608561,y,On 6/10/10 Rogers abated.
5141579,n,"On 05/15/2017 Mr Cornes,  Found no rat burrows or activity on property; left service notice."
5043873,y,"On 12/8/16@9:33 am R Herrington baited 4 rat burrows in the alley.  Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 6 oz, B G duster/ gloves shovel."
5158193,n,On 4/4/17 A Cuff found no  dead rat in the area.
4528900,y,"On 10/21/15 @ 9:50AM T. Taylor baited 11 rat burrows in the rear yard and alley. Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 11oz, B&G duster/ gloves & shovel."
3828307,n,On 09/19/2013 @ 10:30 am Mr. Herrington did not find any evidents of rat in the area.
3682839,u,front yard also
3679388,u,"caller report on the side of address provided there are rodents in the grassy area  after the sidewalk, the resident is vacant......  contact info is caller's"
2694371,y,On 8/16/10 D Broomfield baited 1 rat burrow in the rear yd.
4653487,y,"On 3/25/16@1:15pm G Cornes baited 4 rat burrows in the rear yd. Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 4oz, B&G duster/ gloves & shovel."
3630187,y,"On 03/26/13 @ 2:05 pm, S. Reese abated the property."
4470135,y,"On 8/19/15 @ 10:00am Redman baited 4 rat burrows on the rear yard fence line. Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 4oz, B&G duster/ gloves & shovel."
2270924,y,"serious rat problem.  there are rats/rat burrows in back yard.  it was treated in May, but problem persists.  requesting rat abatement in back yard."
2733810,u,PLEASE BAIT FRONT AND REAR YARDS FOR RATS.
2135882,y,On 6/1/09 T Taylor baited 8 rat burrows in the alley and fence lines.
4200921,y,"On 10/27/14@11:31am R Herrington baited 2 rat burrow in the alley. Ditrac/powder/ EPA#12455-56/ 0.2% 3oz, B&G duster/ gloves & shovel."
4433757,y,"On 7/24/15 @ 1:25pm Parker baited 6 rat burrows in back yard. Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 6oz, B&G duster/ gloves & shovel."
3695693,y,"On 4/30/13@11:15am T Taylor baited 8 rat burrows in the rear yd. Ditrac /powder, EPA#12455-56, 0.2%, 8oz, B&G duster."
4393646,y,"On 6/16/15@9:57am R Herrington baited 3 rat burrows along the rear fence line. Ditrac/powder/ EPA#12455-56/ 0.2% 3oz, B&G duster/ gloves & shovel."
5116184,y,"On 2/16/17@11:47 am C Redman baited 2 rat burrows in the front yd.  Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 3 oz, B&G duster/ gloves shovel."
1184992,n,On 5/2/06 Ricks found no sign of rat
2396276,n,On 12/17/09 L Rogers found no rat burrows in the area.
3459785,y,"Rat Abatement 1514 D St SE, Washington, DC 20003, USA  Rats in the alley behind 1516 D St SE"
3901737,n,On 1/6/14 A Cuff found no rat burrows in the area; left service notice.
3078036,n,"On 8/1/11 @11:35 Purvis & Taylor baited 2 rat burrows in the front yard. Ditrac /powder, EPA#12455-56, 0.2%, 4oz, B&G duster."
3181244,y,"On 01/07/13 @ 10:17 am, V. Purvis abated the property."
3382814,y,"On 5/22/12 @ 10:20am G.Cornes baited 5 rat burrows in the alley. Ditrac /powder, EPA#12455-56, 0.2%, 5oz, B&G duster."
2528322,y,On 4/8/10 G Cornes baited 2 rat burrows in the rear yd on the left fence line.
3414813,y,"On 12/10/12 @ 2:00 pm, G. Cornes abated the property."
3520911,y,"On 11/25/14 T Taylor, pest controller abated area."
2283928,n,Roaches in alley from items left in alley
5312238,n,"On 09/14/2017 Ms. Bloomfield,  Found no rat burrows or activity on property; left service notice"
4637463,n,On 2/29/16 D Broomfield found no rat burrows; concreted yard.
3767908,n,"On 7/24/13, M. Parker  found no rat burrows in the area; left service notice."
4913623,n,On 9/20/16 M Parker found no rat burrows in the area.
5152329,u,On 3/21/17 A Cuff stated that the complainant does not live at address above. Called and was disconnected.
3161366,y,"On 10/5/11@12:00pm T Taylor baited 6 rat burrows along rear fence lines. Ditrac /powder, EPA#12455-56, 0.2%, 12oz, B&G duster."
4168244,u,Requesting rat abatement at both 1323 and 1325 Allison.  Problem is really at 1323 and the alley as well.
3916754,y,CALLER IS STATING THAT THERE ARE VARIOUS OF RODENTS THAT ARE COMING INSIDE  AND OUT SIDE OF THE HOUSE THAT NEEDS TO BE INSPECTED AND TREATED ASAP AS WELL
3496369,u,"Rat Abatement 723 4th St NE, Washington, DC 20002, USA   This issue has an image. You can view it here http://seeclickfix.com/issues/227714 .   Trash and debris behind 717 4th st. NE is attracting and housing rodents that are appearing in the backyard of 719 4th st. NE."
4416252,u,requesting front & rear yard...holes in yard.  locked gate but call a day ahead of time to have gate unlocked...black door on front with black mail box brick house
82065,n,CHECK AREA FOUND NO ODOR BY JOHNSON ON 8/17/00 AT 10:00AM.  ST
26793,y,BAITED IN THR REAR    BS
408945,u,POSTED BY SHAW AJVD ON 05/05/03
4379706,y,"Multiple rats have been seen, heard, and caught in the basement and attic of the home"
5000221,n,On 11/16/16 G Cornes found no rat burrows in the area.
1572539,n,On 8/31/07 S Reese found no rat burows in area.
3778953,y,REAR YARD TREE HAS TAT BURROWS
4410437,n,On 6/30/15 @ 11:15AM G. Cornes found no rat burrows in the area; left service notice.
5179081,n,On 4/24/17 C Redman found no rat burrows or activity on property and public space; left service notice.
4262924,y,Rats are coming into his property from 4626 Hayes(vacant property).  Please contact consumer
2637747,n,On 6/29/10 Cornes - no cause for action
3244997,n,On  the above date 12/29/2011 Ms Broomfield found no rat burrows
3446184,y,RATS IN ALLEY AND BACKYARD....RATS ARE ALL UP AND DOWN ALLEY
2853849,y,On 1/10/11 L Rogers found 2 rat burrows in the rear yd along fence line.
3766595,u,ABATEMENT NEEDED
3800854,n,On 8/20/13 D Broomfield  found no rat burrows in the area; left service notice.
1558504,y,Abated 11/1/07 Broomfield
4565938,y,"On 12/11/15@10:35am T Taylor baited 5 rat burrows alongTreatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 3oz, B&G duster/ gloves & shovel.  wall in the rear . Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 5 oz, B&G duster/ gloves & shovel."
2963591,n,On 5/4/11 G Cornes found no rat burrows in the area.
3787051,n,"there is not a locked gate and no animals, caller states there is a large hole near a pile a dirt in the backyard"
3184895,y,"yuma st approaching tenley circle from west, under elm tree at tenley market.  grates and holes filled with rats. visible at dusk."
5287623,n,"On 08/18/2017 Mr. Parker, Found no rat burrows or activity on property; left service notice.  This client has mice."
4097678,u,"Rat Abatement Warren St NE, Washington, District of Columbia  Problem is located in both the alleyway and in the backyard of several Warren St properties.  Alley needs to be cleaned & repaired, and there have been several requests for such.  Trash & food in the alleyway has been a perfect feeding ground for rats, and it has bled into our properties."
3151837,u,caller requesting for rat control at this location.....pleas call up on arrival we have kid's
2853859,n,On 1/10/11 L Rogers found no rat burrows in the area.
112280,y,2-12-01    baited   2 burrows under garage    Khalaf Johnson
2666169,n,On 10/6/10 L Rogers found no rat burrows in the area.
2357515,u,next to the dorm
4213762,u,Please contact the resident before coming out
4202533,y,"On 10/28/14@10:15am G Cornes baited 5 rat burrows along rear fence line. Ditrac/powder/ EPA#12455-56/ 0.2% 5oz, B&G duster/ gloves & shovel."
2657693,n,On 7/20/10 @ 10:00am Cornes found no evidence of rats in the area.
5178960,y,"On 6/26/17@12:00 pm G Cornes baited 1 rat burrow in the front yd by steps. Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 3 oz, B&G duster/ gloves shovel."
5240554,n,On 7/14/17 D Broomfield found no rat burrows or activity on property.
2426605,n,On 1/12/10 G Cornes found no rat burrows in the area.
1635741,y,On 3/26/08 V.Purvis baited 4 rat burrows in the rear alley.
4938274,n,found no rat burrows or activity on property; left service notice.
3512015,y,"Huge rat infestation in 2011. Very few rats seen during summer of 2012 but a recent increase in rat activity. Rats seen in backyards, in alley, and in street, mostly in yards and alley in the block between 6th St NW, U st NW, Florida Ave NW, and Boher St NW. Rat activity seen in the yard of 602 and 604 U st NW."
2507623,u,MS. SOWELLS 202-398-2801
3413387,y,"On 2/22/13 @ 2:00 pm, D. Broomfield abated the property."
3020246,n,On 7/21/11 V Purvis found no rat burrows in the alley.
3059796,u,"On 7/21/11 D Broomfield will need owner's permission to enter property; there's a DCRA issue a possible $1,500.00 ticket could be imposed. Left service notice property is vacant."
3055920,u,there is a bee hav is next to the bus
2985588,y,rat abatement 3/4/11#060299 notes state further abatement is needed. please treat area 2nd time
3170406,y,rats are seen in the front yard and the back yard
2742980,y,rat dug holds in front yard.
3008483,y,"On 06/05/13 @ 10:45 am, T. Taylor abated the property."
5221016,y,"On 6/7/17@2:18 pm M Parker baited 2 rat burrows in the front. Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 3 oz, B&G duster/ gloves shovel."
3385696,y,"On 03/22/13 @ 9:41 am, S. Reese abated the property."
2949026,y,rats are on the sidewalk when pedestrians pass by
4297750,y,AROUND 3424 O STREET....DOZENS OF RODENTS AT THE SAME TIME
2383086,u,caller stated that the rats are on the side of the building and there are holes the rats are going into. please call when arriving to the location. Degol 202-722-2242
2174397,y,n 5/12/10 Curtis baited 1 rat burrow in the front yard.
5255597,y,"On 7/24/17@9:20 am M Jacobs baited 3 rat burrows in the alley. Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 3 oz, B&G duster/ gloves shovel."
5208821,y,"On 6/26/17@10:00 am M Jacobs baited 6 rat burrows in the alley. Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 6 oz, B&G duster/ gloves shovel."
3798601,y,Recently I have seen a couple of rats enter into my backyard from the alley and then hide under neath my planters and grill when the light turns on). They are definitely coming in from the alley outside.
38768,y,THE PEST CONTROLLER BAITED 2 RAT BURROWS IN THE BOX SPACE ON 13TH ST. ON THE SIDE OF HECHTS. 1/13/00/ ALG
2622031,y,On 6/17/10 11:15AM Broomfield baited 5 rat burrows in the front yard and tree box space
3713743,n,On 5/22/2013 @ 10:33 am Mr. Cuff did not find any evidence of rats in the area.
2563310,n,On 5/4/10 L Rogers found no rat burrows in the area.
3461404,y,"On 12/10/12 @ 11:55 am, S. Reese abated the property."
4661114,n,On 3/28/16 A Cuff found no rat burrows in the area; left service notice.
4907342,y,"On 9/13/16@10:50 am M Parker baited 4 rat burrows in the rear. Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 6 oz, B G duster/ gloves shovel."
5156203,n,"On 05/01/2017 Cornes, Ahmad, Found no rat burrows or activity on property; left service notice."
4681407,n,On 4/20/16 A Cuff found no rat burrows at location.
4313993,y,caller stating that the rats in the area somehow crawled into her car and located and chewed the spark plugs in her car an damaged her vehicles...the issue is in the back alleyway coming out of a garage is where the infestation is located...multiple cars have had their spark plugs chewed by these rats
5172538,n,On 5/3/17 A Cuff found no rat burrows or activity on property and public space; left service notice. Talked with owner about mice in home and wildlife in the area.
4644026,y,"On 3/7/16@9:52am Curtis Redman baited 3 rat burrows along the rear fence line. Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 3oz, B&G duster/ gloves & shovel."
3397369,y,"On 02/06/13 @ 1:10 pm, A. Cuff abated the property."
4406722,y,"On 6/26/15 @ 9:10AM Taylor baited 5 rat burrows in alley and grovel lot Ditrac /powder, EPA#12455-56, 0.2%, 5oz, B&G duster."
4377529,y,Rat Abatement 1905 Naylor Rd SE Rats have home in old furniture in back yard been there since winter
2487862,y,"front and rear have seen rats in yard,"
3935950,y,"On 2/19/14@9:01am R Herrington baited 3 rat burrows in the alley. Ditrac /powder, EPA#12455-56, 0.2%, 5oz, B&G duster."
4188601,y,"On 10/15/14@10:35am T Taylor baited 5 rat burrows in the rear yard and sidewalk. Ditrac/powder/ EPA#12455-56/ 0.2% 5oz, B&G duster/ gloves & shovel."
3824179,y,Rats are still running around in street planter beds and sidewalks. Previous request - 13-00132116 went unanswered. Please address as retail (restaurant) patio areas are affected.
122307,u,3-12-01 apt bldg call foe sweep on trash sweep on trash
614603,u,See service # 479702
4766320,y,"On 6/16/16@1:33pm C Redman baited 1 rat burrow in the front yd.Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 3oz, B&G duster/ gloves & shovel."
4017244,y,"On 4/22/15 Taylor , pest controller has abated area."
3040917,n,On 7/5/11 Cuff found no sign of rats in the area.
3438968,y,"On 03/12/13 @ 11:00 am, D. Broomfield abated the property."
3993284,u,and alley
4294988,n,On 3/9/15 L Rogers found no rat burrows in the area; left service notice.
94728,n,no signs of rat burrows on the property/10/26/00/purvis/hill
2632971,n,On 7/7/10 L Rogers found no rat burrows in the area.
3756095,n,On 06/20/2013 @ 10:00 am Ms. Broomfield did not find any evidence of rats in the area.
5094267,n,On 1/10/17 D Broomfield stated that the citizen complaining did not answer phone; owners did not give permission to enter property. The rear entrance locked; no rat burrows on public space no address to leave service notice.
55932,y,BAITED IN THE REAR AT MY ALLEY WAY 3 RAT BURROWS; DD
69161,n,NO RAT BURROWS SEEN IN THE ALLEY. LEFT PETITION. NO CAUSE FOR ACTION; BROOMSFIELD/DD
5199869,y,"On 5/18/17@9:30 am G Cornes baited 24 rat burrows in the rear. Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 2 lbs, B&G duster/ gloves shovel."
5315754,y,"On 9/14/17@12:35 pm M Jacobs baited 23 rat burrows in the alley. Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 23 oz, B&G duster/ gloves shovel."
2709911,n,"On 9/2/10 @ 11:45am the citizen did not indicate where is the problem location. I surveyed rear yard space, (Front and public no rat burrows seen on rear yard and public space & left service notice.) Broomfield"
1565805,u,
5243727,n,On 8/9/17 A Cuff found no rat burrows or activity on property and public space; left service notice.
3700851,n,On 05/6/2013 @ 10:32 Mr. Cuff did not find any evidents of rats in the area.
5059774,n,On 12/19/16 R Herrington found no rat burrows or activity on property and public space; left service notice.
2205738,u,"S0311 ~COMMENTS - **SRCB** IF THE RATS ARE ON YOUR PROPERTY, DO WE HAVE PERMISSION TO ENTER? (NOTE: THE DEPARTMENT OF HEALTH WILL ONLY BAIT RODENTS OUTSIDE OF YOUR HOME.) - THIS IS NOT MY PROPERTY. IT IS SOMEONE'S BUSINESS PROPERTY.**SRCE** THERE ARE 10+ RATS AT A DUMPSTER NEXT TO A HAIR SALON IN A STRIP MALL LOCATED NEXT TO THE MCDONALD'S ON THE CORNER OF SOUTH DAKOTA AVE AND DELAFIELD ST NE. ~LOC - THE DUMPSTER IS LOCATED NEXT TO THE BEAUTY SALON WHICH IS IN A STRIP MALL NEXT TO THE MCDONALD'S."
